nb_params,step,log_Z,var_log_Z,density_calls,loss,lr,training_time
,399,,,,4.120521,0.001,
,400,,,,4.7319026,0.001,
,401,,,,3.4861836,0.001,
,402,,,,5.1979494,0.001,
,403,,,,5.0488076,0.001,
,404,,,,4.5413356,0.001,
,405,,,,5.3783607,0.001,
,406,,,,5.881724,0.001,
,407,,,,3.920638,0.001,
,408,,,,4.043003,0.001,
,409,,,,5.024043,0.001,
,410,,,,4.2851505,0.001,
,411,,,,4.0610375,0.001,
,412,,,,3.818297,0.001,
,413,,,,4.9602637,0.001,
,414,,,,5.728566,0.001,
,415,,,,4.1716275,0.001,
,416,,,,4.5296974,0.001,
,417,,,,6.844366,0.001,
,418,,,,4.641328,0.001,
,419,,,,3.704535,0.001,
,420,,,,9.475947,0.001,
,421,,,,7.100096,0.001,
,422,,,,6.1429715,0.001,
,423,,,,4.0325413,0.001,
,424,,,,4.3400135,0.001,
,425,,,,4.998829,0.001,
,426,,,,4.5428915,0.001,
,427,,,,5.504627,0.001,
,428,,,,4.910841,0.001,
,429,,,,4.153161,0.001,
,430,,,,4.379039,0.001,
,431,,,,3.4115443,0.001,
,432,,,,5.4060535,0.001,
,433,,,,6.624687,0.001,
,434,,,,3.7956345,0.001,
,435,,,,4.198297,0.001,
,436,,,,6.294776,0.001,
,437,,,,4.7805815,0.001,
,438,,,,3.9283302,0.001,
,439,,,,5.8644133,0.001,
,440,,,,3.9540887,0.001,
,441,,,,7.435708,0.001,
,442,,,,3.0367677,0.001,
,443,,,,4.64914,0.001,
,444,,,,4.822701,0.001,
,445,,,,4.7741313,0.001,
,446,,,,4.4424953,0.001,
,447,,,,4.4497166,0.001,
,448,,,,4.596203,0.001,
,449,,,,3.0380278,0.001,
,450,,,,5.4088845,0.001,
,451,,,,8.754986,0.001,
,452,,,,9.27605,0.001,
,453,,,,7.432365,0.001,
,454,,,,3.3987527,0.001,
,455,,,,5.037391,0.001,
,456,,,,5.287895,0.001,
,457,,,,4.204714,0.001,
,458,,,,5.535376,0.001,
,459,,,,5.513369,0.001,
,460,,,,5.056159,0.001,
,461,,,,4.3986354,0.001,
,462,,,,5.2477655,0.001,
,463,,,,3.8834636,0.001,
,464,,,,3.1702857,0.001,
,465,,,,5.7097025,0.001,
,466,,,,4.8997655,0.001,
,467,,,,4.3809824,0.001,
,468,,,,3.8374171,0.001,
,469,,,,4.6438127,0.001,
,470,,,,5.1528144,0.001,
,471,,,,4.258286,0.001,
,472,,,,4.072181,0.001,
,473,,,,3.335271,0.001,
,474,,,,4.277943,0.001,
,475,,,,3.7832086,0.001,
,476,,,,5.1124344,0.001,
,477,,,,3.441561,0.001,
,478,,,,4.7071753,0.001,
,479,,,,4.0654263,0.001,
,480,,,,4.858212,0.001,
,481,,,,3.765272,0.001,
,482,,,,3.817304,0.001,
,483,,,,5.4824576,0.001,
,484,,,,3.6940675,0.001,
,485,,,,5.2097754,0.001,
,486,,,,5.7766423,0.001,
,487,,,,4.5937595,0.001,
,488,,,,5.488141,0.001,
,489,,,,4.9367537,0.001,
,490,,,,4.355779,0.001,
,491,,,,5.298973,0.001,
,492,,,,3.9581327,0.001,
,493,,,,4.615162,0.001,
,494,,,,4.243212,0.001,
,495,,,,4.0628304,0.001,
,496,,,,6.6314735,0.001,
,497,,,,4.0168557,0.001,
,498,,,,4.2978387,0.001,
,499,,,,4.6716065,0.001,
,500,,,,3.1750667,0.001,
,501,,,,12.116034,0.001,
,502,,,,14.363702,0.001,
,503,,,,21.068308,0.001,
,504,,,,13.539841,0.001,
,505,,,,12.373956,0.001,
,506,,,,12.611202,0.001,
,507,,,,13.478413,0.001,
,508,,,,11.947724,0.001,
,509,,,,16.627497,0.001,
,510,,,,14.263835,0.001,
,511,,,,13.790515,0.001,
,512,,,,10.426305,0.001,
,513,,,,9.895523,0.001,
,514,,,,12.861481,0.001,
,515,,,,11.330816,0.001,
,516,,,,11.778218,0.001,
,517,,,,9.485894,0.001,
,518,,,,10.534863,0.001,
,519,,,,15.314326,0.001,
,520,,,,13.115172,0.001,
,521,,,,11.637474,0.001,
,522,,,,13.83627,0.001,
,523,,,,10.44107,0.001,
,524,,,,10.529138,0.001,
,525,,,,11.843883,0.001,
,526,,,,13.537609,0.001,
,527,,,,15.398601,0.001,
,528,,,,10.048224,0.001,
,529,,,,13.660704,0.001,
,530,,,,13.440376,0.001,
,531,,,,9.816874,0.001,
,532,,,,11.726947,0.001,
,533,,,,13.310309,0.001,
,534,,,,11.462941,0.001,
,535,,,,12.208228,0.001,
,536,,,,9.722987,0.001,
,537,,,,13.439982,0.001,
,538,,,,16.573185,0.001,
,539,,,,11.136888,0.001,
,540,,,,12.629698,0.001,
,541,,,,11.292492,0.001,
,542,,,,9.943909,0.001,
,543,,,,16.416767,0.001,
,544,,,,14.238433,0.001,
,545,,,,12.8532715,0.001,
,546,,,,12.535067,0.001,
,547,,,,9.498673,0.001,
,548,,,,10.017145,0.001,
,549,,,,13.50147,0.001,
,550,,,,10.489651,0.001,
,551,,,,12.717642,0.001,
,552,,,,14.805306,0.001,
,553,,,,7.377619,0.001,
,554,,,,8.654245,0.001,
,555,,,,11.453991,0.001,
,556,,,,12.205739,0.001,
,557,,,,11.952993,0.001,
,558,,,,8.965283,0.001,
,559,,,,9.658967,0.001,
,560,,,,9.882104,0.001,
,561,,,,10.837517,0.001,
,562,,,,17.144274,0.001,
,563,,,,11.397915,0.001,
,564,,,,14.509105,0.001,
,565,,,,12.363124,0.001,
,566,,,,9.937661,0.001,
,567,,,,11.946343,0.001,
,568,,,,16.155111,0.001,
,569,,,,13.510024,0.001,
,570,,,,11.740533,0.001,
,571,,,,10.340733,0.001,
,572,,,,15.2604265,0.001,
,573,,,,13.400927,0.001,
,574,,,,14.720664,0.001,
,575,,,,8.213161,0.001,
,576,,,,10.190664,0.001,
,577,,,,21.254671,0.001,
,578,,,,11.038021,0.001,
,579,,,,10.200665,0.001,
,580,,,,10.069375,0.001,
,581,,,,12.049735,0.001,
,582,,,,12.963084,0.001,
,583,,,,10.53645,0.001,
,584,,,,8.031513,0.001,
,585,,,,12.233309,0.001,
,586,,,,17.160551,0.001,
,587,,,,10.779504,0.001,
,588,,,,12.936469,0.001,
,589,,,,13.307191,0.001,
,590,,,,15.275217,0.001,
,591,,,,14.957012,0.001,
,592,,,,16.548336,0.001,
,593,,,,9.121978,0.001,
,594,,,,12.554877,0.001,
,595,,,,12.208696,0.001,
,596,,,,8.168376,0.001,
,597,,,,8.414768,0.001,
,598,,,,9.763795,0.001,
,599,,,,14.529219,0.001,
,600,,,,12.257002,0.001,
,601,,,,9.467724,0.001,
,602,,,,8.8133545,0.001,
,603,,,,10.296941,0.001,
,604,,,,9.757658,0.001,
,605,,,,8.226276,0.001,
,606,,,,7.9384265,0.001,
,607,,,,6.8302054,0.001,
,608,,,,6.9806194,0.001,
,609,,,,9.232133,0.001,
,610,,,,6.9505944,0.001,
,611,,,,7.653262,0.001,
,612,,,,7.5691895,0.001,
,613,,,,7.991197,0.001,
,614,,,,7.84085,0.001,
,615,,,,6.727532,0.001,
,616,,,,8.132816,0.001,
,617,,,,6.3105087,0.001,
,618,,,,8.625108,0.001,
,619,,,,9.0221615,0.001,
,620,,,,7.5622554,0.001,
,621,,,,8.490868,0.001,
,622,,,,6.512733,0.001,
,623,,,,8.03045,0.001,
,624,,,,7.296231,0.001,
,625,,,,8.120582,0.001,
,626,,,,6.6743135,0.001,
,627,,,,6.2211137,0.001,
,628,,,,6.088725,0.001,
,629,,,,6.422605,0.001,
,630,,,,7.2291293,0.001,
,631,,,,7.114292,0.001,
,632,,,,7.5576825,0.001,
,633,,,,6.8214803,0.001,
,634,,,,6.3978796,0.001,
,635,,,,6.5703664,0.001,
,636,,,,5.4483914,0.001,
,637,,,,8.025753,0.001,
,638,,,,7.291168,0.001,
,639,,,,5.9080787,0.001,
,640,,,,5.930566,0.001,
,641,,,,6.271982,0.001,
,642,,,,5.938632,0.001,
,643,,,,6.365355,0.001,
,644,,,,7.5735483,0.001,
,645,,,,7.2635107,0.001,
,646,,,,6.44816,0.001,
,647,,,,7.5716457,0.001,
,648,,,,8.669927,0.001,
,649,,,,6.8276143,0.001,
,650,,,,6.1398597,0.001,
,651,,,,7.182164,0.001,
,652,,,,6.0675936,0.001,
